1921,-2.11522,-1.34095,-1.89145,-2.72764,-1.6582,0.79317,-7.42995722,-1.78340297
1922,-1.09956,-1.33948,-0.03081,-2.55744,-2.31968,1.63057,-6.47295362,1.2557437
1923,0.5539,-1.27925,1.52427,-0.62995,-0.79456,-1.16074,-1.87878742,1.11403415
1924,0.18367,-0.67086,2.27473,0.79591,-0.74012,1.63057,0.41942176,3.49911921
1925,0.61797,-1.17327,1.38103,-0.07067,-0.83988,0.23491,-1.07069852,2.11968474
1926,0.36387,-1.3263,-0.68371,-1.31882,-1.44088,0.23491,-3.70153738,0.47129722
1927,2.07719,-1.22319,2.13907,-0.2551,-0.90656,0.79317,0.07345014,4.23282745
1928,-0.17069,-1.52111,-0.73526,-1.71914,-1.72825,-0.88161,-5.13223469,-0.71291992
1929,2.02197,-1.31828,1.75428,-0.82176,-1.50323,0.79317,-1.25475831,4.05844057
1930,-0.53168,-0.7908,1.41578,-1.02,-0.25892,-0.60248,-2.0838054,0.46718086
1931,0.32272,-1.20936,0.60775,-1.40341,-1.27998,-1.16074,-3.42185808,0.33576206
1932,0.39669,-0.92343,0.98977,0.02572,-0.45027,0.79317,-0.57341579,1.94040805
1933,1.21379,-1.03355,1.70193,-0.17818,-0.28521,0.23491,0.02939075,2.63898393
1934,-0.1681,-1.1999,0.48679,-0.0156,-0.95007,-1.16074,-2.20836789,-0.20688783
1935,0.2717,-1.29285,0.10473,-0.94171,-1.15016,0.79317,-2.82189924,1.3837686
1936,-0.10893,-0.91906,0.27176,-1.06048,-0.61115,1.63057,-2.20762671,1.69508787
1937,0.33757,-1.03576,1.00627,-0.25863,-0.49219,0.79317,-1.02919037,1.93900827
1938,-0.96906,-1.05624,-0.24381,-0.67961,-0.7725,-1.16074,-3.35628404,-1.43275826
1939,-0.48103,-0.98318,0.45631,-0.36199,-0.61848,-1.16074,-2.27568322,-0.5740425
1940,-0.32127,-0.89714,1.37207,-1.35168,-0.5897,0.79317,-2.44404408,1.7661168
1941,-1.09129,-1.1909,-0.95605,-1.51042,-1.2818,0.79317,-4.73577938,-0.42326718
1942,-1.36471,-1.21623,-1.06336,-1.71883,-1.00277,0.79317,-4.93854351,-0.77528677
1943,-1.33325,-1.1077,-0.32271,-1.69319,-0.54821,0.23491,-4.25079903,-0.72799175
1944,-0.59333,-1.19413,0.21092,-1.53863,-0.83122,1.63057,-3.52011922,1.39657665
1945,-0.35132,-1.40025,-0.71286,-1.3842,-1.63237,-1.16074,-4.78969507,-1.08444353
1946,-2.52916,-1.53868,-2.78049,-2.3462,-1.85432,0.79317,-7.9975889,-2.71287598
