759491,1980
335,1990
66915,1960
71209,1950
91438,1980
113823,1970
132710,1980
208582,1960
397880,1970
489999,1970
492331,1970
615119,1970
651107,1960
747445,1970
755156,1980
838272,1970
895136,1980
899530,1980
960690,1970
988638,1960
75264,1970
441,1990
91650,1970
112789,1990
134729,1980
295756,1960
359326,1990
446509,1980
485135,1990
579839,1980
741746,1980
789064,1980
790820,1990
796045,1970
806829,1980
825087,1980
863790,1990
883318,1980
748421,1980
5953,1960
1098,1980
59537,1960
61938,1960
81493,1970
84209,1970
130932,1960
139026,1960
182598,1960
200968,1960
349157,1980
354105,1960
379125,1960
485791,1970
490004,1970
503913,1960
562304,1960
574772,1970
604852,1970
623985,1960
754032,1960
771438,1960
772567,1960
840402,1960
8828,1990
1113,2000
81403,1970
546214,1980
628467,1990
50493,1990
1498,1990
96977,1990
97325,1980
219966,1990
561105,1990
607053,1990
2252,1970
38936,1950
41874,1960
642542,1950
346336,1960
840102,1960
988440,1960
133969,1970
112462,1960
187478,1960
192382,1960
240865,1960
255371,1960
489303,1960
831381,1960
894465,1960
18977,1970
3170,1970
19297,1970
297894,1960
517607,2000
583618,1990
626463,1990
859509,1990
649950,1950
131627,1960
3669,1980
137580,1970
170369,1960
207735,1950
240311,1950
289177,1960
332141,1950
519637,1980
578028,1980
584923,1960
690254,1970
744265,1960
767068,1960
921965,1950
923384,1970
4451,1980
123007,1970
490141,1970
31380,1980
122754,1970
237205,1980
664817,1970
100160,1960
577627,1960
887806,1980
22124,1980
5441,1980
98465,1970
105422,1980
163386,1980
246611,1960
260206,1970
287259,1980
315403,1970
371258,1980
386253,1980
406294,1980
424244,1960
490952,1980
501407,1970
561715,1980
588450,1980
673208,1980
749970,1950
751910,1980
925852,1970
957085,1980
5501,1990
223627,1980
280956,1980
351733,1980
357406,1980
388198,1980
506513,1980
572737,1980
825251,1980
5882,1960
120521,1950
180228,1950
799053,1960
824022,1950
22928,1960
46120,1960
76057,1960
114342,1960
137474,1960
138699,1950
311674,1960
489676,1960
37730,1990
6310,1990
39258,1980
47789,1980
51992,1970
78741,1980
130173,1980
184043,1990
287917,1960
350840,1960
387530,1980
490554,1980
612716,1970
853492,1980
898479,1980
936425,1960
987491,1960
11707,1970
6320,1970
43714,1960
46925,1960
96964,1960
110161,1960
130689,1960
136871,1970
277351,1970
481461,1970
674662,1960
685647,1960
796734,1960
36537,1960
7230,1960
89021,1950
209142,1950
307135,1970
496405,1950
805785,1970
842351,1960
7305,1970
152312,1960
55128,1940
7729,1960
58616,1950
773642,1950
50251,1990
7731,1990
88180,1980
798606,1980
7920,1980
139908,1980
418740,1970
671953,1970
891063,1970
817011,1980
59293,1960
8245,1960
575051,1960
65590,1980
8549,1990
189678,1980
325459,1980
422405,1970
545726,1980
621944,1980
752314,1980
780625,1990
922911,1990
39013,1990
305363,1990
563834,1980
690456,1990
781766,1990
808944,1980
855836,1990
178906,1980
219203,1970
803026,1980
11754,1980
22257,1980
159433,1990
228099,1980
235923,1960
246960,1980
290590,1980
354722,1980
390477,1980
484145,1960
495338,1990
545074,1980
776093,1980
9084,1970
253142,1950
9218,1980
590441,1980
270491,1960
834108,1980
9441,1990
167320,1980
178122,1990
420133,1980
820115,1980
393345,1990
564333,1980
543595,1990
750742,1990
782768,1990
813946,1980
12472,1960
10412,1980
20050,1960
36106,1960
38490,1960
77175,1960
178536,1970
265440,1960
307461,1950
313284,1960
317417,1960
745964,1960
10538,1980
127337,1970
183858,1970
217622,1970
531986,1960
617196,1970
645474,1970
809266,1970
852855,1970
62823,1980
10982,1980
202545,1970
385611,1980
11046,1990
158309,1970
225930,1990
680476,1980
792530,1980
740833,1990
205180,1950
625739,1970
809058,1960
325401,1930
473554,1960
686897,1960
936190,1960
175196,1960
493122,1960
543055,1950
631774,1960
751019,1960
925181,1960
12491,1980
152023,1990
165663,1970
193320,1970
299471,1960
745241,1960
897214,1970
12877,1970
34899,1990
51376,1970
167287,1980
219483,1980
290812,1970
364399,1970
842802,1970
990384,2000
300245,1960
70715,1950
144847,1970
765722,1950
814606,1950
31685,1950
13387,1970
96613,1960
117490,1970
147635,1970
159214,1950
166785,1960
174557,1950
182900,1960
184091,1970
204386,1960
248798,1970
359016,1960
359966,1970
688400,1970
812046,1970
816387,1950
962339,1960
15694,1980
13508,1990
29791,1970
29884,1950
31556,1990
36521,1980
79044,1980
112185,1980
145128,1970
212131,1980
240665,1990
326249,1990
575522,1990
793425,1990
815537,1980
954964,1990
21744,1960
103484,1980
600069,1980
848034,1960
31274,1970
199995,1960
253861,1960
404434,1960
798992,1970
14073,1950
61480,1960
131581,1960
162233,1960
44764,1970
75747,1970
14724,1980
79960,1970
203008,1960
303626,1970
825924,1970
887619,1960
128440,1970
128495,1990
758453,1980
891264,1960
923033,1970
16281,1980
58549,1970
16438,1970
64303,1960
73421,1970
154530,1980
180263,1960
314600,1960
343930,1980
475932,1970
478426,1970
485191,1980
501692,1960
569914,1960
684240,1970
764181,1980
790732,1970
866786,1970
939567,1960
16132,1990
153590,1960
179205,1960
232564,1950
696015,1970
29067,1960
423267,1960
483587,1960
582313,1960
47033,1980
129761,1960
301619,1990
334193,1980
263937,1980
540883,1980
817754,1980
845775,1970
864209,1950
17387,1990
70027,1980
104455,1980
120953,1980
501081,1980
564726,1980
784814,1990
418955,1960
491220,1950
213212,1960
671244,1980
766533,1980
78886,1980
80720,1980
137390,1970
260212,1980
482677,1980
567570,1970
789340,1990
831215,1990
895443,1970
330575,1950
745915,1950
794449,1950
87985,1960
814852,1960
19701,1970
34988,1980
44906,1980
46527,1990
188190,1990
423305,1980
633181,1980
751604,1990
224638,1960
233066,1950
307025,1960
504928,1960
763301,1960
781370,1980
19892,1980
154998,1970
257544,1960
749734,1960
855423,1970
120010,1990
163420,1990
206407,1970
475334,1990
479350,1980
486047,1980
604075,1980
786613,1970
181376,1970
80780,1990
174122,1980
177060,1960
345355,1980
852997,1980
69534,1980
222436,1970
251595,1970
297702,1960
20862,1970
520975,1960
680522,1980
20984,1940
530745,1970
21009,1980
252184,1970
467853,1960
194703,1960
21578,1990
