759491,13,12
74,1,0
25462,13,12
335,20,22
66915,29,389
71209,12,64
91438,10,9
113823,9,6
132710,10,3
208582,4,8
378288,19,32
397880,31,22
489999,8,10
492331,27,34
615119,15,48
651107,6,13
747445,17,45
755156,38,71
838272,17,26
895136,24,72
899530,23,83
960690,20,30
988638,10,34
75264,17,36
441,18,2
91650,18,93
112789,25,37
134729,25,37
175775,13,10
295756,13,32
359326,32,17
446509,29,112
485135,11,16
579839,7,23
741746,19,21
789064,22,3
790820,15,25
796045,21,22
806829,25,40
825087,25,10
863790,18,29
883318,24,39
151290,18,11
589,3,0
286662,10,7
748421,20,1
5953,25,68
1098,30,42
12654,19,10
59537,12,28
61938,17,22
81493,11,23
84209,23,89
130932,11,15
139026,24,221
182598,21,64
187581,17,44
200968,12,9
349157,21,27
354105,32,201
379125,31,148
390390,9,27
485791,8,12
490004,33,127
503913,9,18
562304,21,116
574772,18,65
604852,22,67
623985,1,8
754032,31,615
771438,12,171
772567,14,22
840402,8,181
8828,26,22
1113,4,1
81403,9,6
546214,18,17
628467,30,29
13384,15,19
1433,12,11
19241,19,18
65397,9,11
86312,13,17
99753,4,7
136640,13,32
175286,17,49
210512,11,5
234325,10,47
409954,8,30
749175,5,7
804289,6,11
50493,13,4
1498,6,3
96977,6,7
97325,13,13
219966,19,9
561105,12,14
607053,6,12
1528006,0,3
1589,1,0
559405,9,1
1611,1,1
156886,8,8
2252,1,1
112017,4,12
2273,4,2
203804,0,1
588679,0,1
744548,4,20
38936,14,46
2330,11,5
41874,13,186
249175,2,8
639397,11,13
642542,13,63
765585,0,5
781837,4,34
785283,6,27
792507,9,71
798543,3,4
183867,0,34
2411,8,34
346336,16,142
423829,16,160
750519,2,34
840102,9,25
988440,29,60
133969,13,12
2578,1,0
7689,18,37
2750,8,0
160690,24,22
208774,16,59
262255,19,42
319347,22,38
376204,16,34
802302,12,37
820434,23,45
112462,13,91
2867,12,0
176936,4,51
187478,28,46
192382,15,95
240865,18,45
255371,0,3
489303,17,105
824599,2,20
831381,11,9
894465,39,319
18977,21,14
3170,3,1
19297,14,16
297894,15,14
517607,13,4
3226,4,0
583618,19,33
626463,24,23
